order,nrowMRD,jfID,ncolfrLast
6063,28526,X907514182001_D_3,37126
6064,28653,X907514182002_G_2,37253
6065,28329,X907514050004_C_5,33935
6066,27661,X907514049010_E_1,33267
6067,29060,X907514182007_B_11,37660
6068,29547,X907514182012_C_6,38147
6069,29516,X907514182012_A_10,38116
6070,27936,X907514049013_D_5,33542
6071,28631,X907514182002_E_3,37231
6072,29120,X907514182007_G_11,37720
6073,27612,X907514049009_H_9,33218
6074,30012,X907514182017_C_12,38612
6075,30257,X907514182019_H_10,38857
6076,29935,X907514182016_D_6,38535
6077,29725,X907514182014_B_8,38325
6078,28705,X907514182003_C_7,37305
6079,27548,X907514049009_C_3,33154
6080,29643,X907514182013_C_8,38243
6081,28750,X907514182003_G_5,37350
6082,27792,X907514049011_H_3,33398
6083,27940,X907514049013_D_9,33546
6084,27997,X907514049014_C_3,33603
6085,27521,X907514049009_A_11,33127
6086,27739,X907514049011_C_7,33345
6087,29300,X907514182009_F_4,37900
6088,29309,X907514182009_G_2,37909
6089,29010,X907514182006_E_7,37610
6090,28320,X907514050004_B_7,33926
6091,29894,X907514182016_A_12,38494
6092,30569,X907514182023_B_9,39169
6093,27676,X907514049010_F_12,33282
6094,28346,X907514050004_E_1,33952
6095,28915,X907514182005_E_5,37515
6096,29865,X907514182015_F_6,38465
6097,27865,X907514049012_F_4,33471
6098,29767,X907514182014_F_2,38367
6099,28004,X907514049014_E_2,33610
6100,29388,X907514182010_F_1,37988
6101,28276,X907514050003_F_9,33882
6102,27860,X907514049012_F_10,33466
6103,29558,X907514182012_D_5,38158
6104,30457,X907514182022_A_3,39057
6105,28127,X907514050002_B_2,33733
6106,30626,X907514182023_G_7,39226
6107,27846,X907514049012_D_9,33452
6108,29619,X907514182013_A_8,38219
6109,27835,X907514049012_D_1,33441
6110,29714,X907514182014_A_9,38314
6111,27949,X907514049013_E_6,33555
6112,27728,X907514049011_B_7,33334
6113,28878,X907514182005_B_4,37478
6114,30125,X907514182018_D_8,38725
6115,30319,X907514182020_E_3,38919
6116,28858,X907514182004_H_8,37458
6117,28359,X907514050004_F_10,33965
6118,29436,X907514182011_B_11,38036
