geno,ngr2,ngr3,ngr4,ngr5,ngr6,ngr7,ngr8,ngr9,ngr10,ngr11,ngr12,ngr13,ngr14,ngr15,ngr20,ngr25,ngr30,ngr35,ngr40,ngr45,ngr50
X900912244002_A_12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X900912244002_A_3,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X900912244002_A_5,2,3,3,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,7,7
X900912244002_A_7,2,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,7,7,7,8,8
X900912244002_A_8,1,1,1,1,1,3,6,6,7,7,7,7,7,7,8,8,8,8,8,9,9
X900912244002_A_9,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,9,10,10
X900912244002_B_1,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,9,10,10
X900912244002_B_10,1,1,1,1,1,3,6,6,7,7,7,7,7,7,8,8,8,8,8,9,9
X900912244002_B_11,1,1,1,1,1,3,6,6,7,7,7,7,7,7,8,8,8,8,8,9,9
X900912244002_B_12,1,1,1,1,1,3,6,6,7,7,7,7,7,7,8,8,8,8,8,9,9
X900912244002_B_3,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X900912244002_B_4,1,1,1,1,1,3,3,3,4,4,4,4,4,4,9,9,9,9,10,11,11
X900912244002_B_5,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X900912244002_B_6,1,1,1,1,1,3,3,3,4,4,4,4,4,4,9,9,10,10,11,12,12
X900912244002_B_7,1,1,1,1,1,1,1,1,1,8,8,8,8,8,10,10,11,11,12,13,13
X900912244002_B_8,1,1,1,1,1,3,6,6,7,7,7,7,7,7,8,8,8,8,8,9,9
X900912244002_C_1,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,9,10,10
X900912244002_C_10,1,1,1,1,1,3,6,6,7,7,7,7,7,7,8,8,8,8,8,9,9
X900912244002_C_11,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,9,10,10
X900912244002_C_12,2,3,3,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,7,7
X900912244002_C_2,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X900912244002_C_3,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X900912244002_C_4,2,3,3,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,7,7
X900912244002_C_5,1,1,1,1,1,3,3,3,4,4,4,4,4,4,9,9,10,10,11,12,12
X900912244002_C_6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3
X900912244002_C_7,2,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,12,12,13,14,14
X900912244002_C_8,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,9,10,10
X900912244002_C_9,2,3,3,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,7,7
X900912244002_D_1,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,9,10,10
X900912244002_D_10,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,9,10,10
X900912244002_D_11,1,1,1,1,1,3,6,6,7,7,7,7,7,7,8,8,8,8,8,9,9
X900912244002_D_3,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X900912244002_D_4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
X900912244002_D_5,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X900912244002_D_6,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X900912244002_D_7,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X900912244002_D_8,1,1,1,1,1,3,6,6,7,7,7,7,7,7,8,8,8,8,8,9,9
X900912244002_D_9,1,1,1,1,1,3,6,6,7,7,7,7,7,7,8,8,8,8,8,9,9
X900912244002_E_1,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,9,10,10
X900912244002_E_10,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,9,10,10
X900912244002_E_2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
X900912244002_E_3,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X900912244002_E_4,1,1,1,1,1,3,3,3,4,4,4,4,4,4,9,9,10,10,11,12,12
X900912244002_E_5,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X900912244002_E_6,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X900912244002_E_8,1,1,1,1,1,3,6,6,7,7,7,7,7,7,8,8,8,8,8,9,9
X900912244002_E_9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X900912244002_F_1,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,9,10,10
X900912244002_F_10,1,1,1,1,1,3,6,6,7,7,7,7,7,7,8,8,8,8,8,9,9
X900912244002_F_11,2,3,3,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,7,7
X900912244002_F_2,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X900912244002_F_3,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X900912244002_F_4,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X900912244002_F_5,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X900912244002_F_6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3
X900912244002_F_8,1,1,1,1,1,3,6,6,7,7,7,7,7,7,8,8,8,8,8,9,9
X900912244002_F_9,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,9,10,10
X900912244002_G_1,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,9,10,10
X900912244002_G_10,1,1,1,1,1,3,6,6,7,7,7,7,7,7,8,8,8,8,8,9,9
X900912244002_G_11,1,1,1,1,1,3,6,6,7,7,7,7,7,7,8,8,8,8,8,9,9
X900912244002_G_2,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X900912244002_G_3,2,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,7,7,7,8,8
X900912244002_G_4,1,1,1,1,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5
X900912244002_G_5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
X900912244002_G_6,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X900912244002_G_7,1,1,1,1,1,3,6,6,7,7,7,7,7,7,8,8,8,8,8,9,9
X900912244002_G_8,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,9,10,10
X900912244002_G_9,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,9,10,10
X900912244002_H_1,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X900912244002_H_10,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,9,10,10
X900912244002_H_11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X900912244002_H_2,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X900912244002_H_3,1,1,1,1,1,3,3,3,4,4,4,4,4,4,9,9,9,9,10,11,11
X900912244002_H_5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
X900912244002_H_6,2,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,7,7,7,8,8
X900912244002_H_7,1,1,1,1,1,3,6,6,7,7,7,7,7,7,8,8,8,8,8,9,9
X900912244002_H_8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X900912244002_H_9,2,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,7,7,7,8,8
X900912244003_A_1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X900912244003_A_11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X900912244003_A_12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X900912244003_A_2,1,1,1,1,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5
X900912244003_A_3,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4
X900912244003_A_4,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X900912244003_A_5,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
X900912244003_A_6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X900912244003_A_7,1,2,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6
